id,site_id,cust_id,last_sync_version,last_sync_date,md_type,site_type_key,owner_key,geo_key,site_name,site_alt_name,site_banner,site_city,site_country
1,30000034263,3002261931897,28020826,2023-04-25T00:00:00.000000Z,pos_md,1,3002261931897,110000324929,e7a3a4ea54b690c1babfa658a2be7c73,,STORE,д. Терней,RUSSIA
2,30000079281,2981047766621,27275318,2023-06-14T00:00:00.000000Z,pos_md,1,2981047766621,110000324929,3f6f89b0989ea212276935e49ab83a22,,STORE,д. Южноуральск,RUSSIA
3,30000092695,8360707295022,28431887,2021-04-11T00:00:00.000000Z,pos_md,2,8360707295022,110000324929,33d7800be19408cbdc428a878beed100,,STORE,п. Серпухов,RUSSIA
4,30000082468,5621265537818,28751318,2021-03-19T00:00:00.000000Z,pos_md,2,5621265537818,110000324929,f4a722e8cd1cfbdea57c1312ba20ab60,,STORE,д. Усть-Илимск,RUSSIA
5,30000077576,5621265537818,28298909,2023-09-08T00:00:00.000000Z,pos_md,1,5621265537818,110000324929,3ce3a0bf101ad441d80d08df6eea1bbe,,STORE,к. Бугульма,RUSSIA
6,30000070284,8360707295022,27979527,2021-01-30T00:00:00.000000Z,pos_md,2,8360707295022,110000324929,854b83c8c6a9713915d421062c8057bb,,STORE,д. Чебоксары,RUSSIA
7,30000005781,8360707295022,27074543,2021-11-21T00:00:00.000000Z,pos_md,1,8360707295022,110000324929,c3224fb32eb8234edf2d461aa8d2e9b4,,STORE,г. Шамары,RUSSIA
8,30000023430,8360707295022,28935040,2021-01-04T00:00:00.000000Z,pos_md,2,8360707295022,110000324929,f15b9e293b23f29a726eb3e76c5c5188,,STORE,к. Поронайск,RUSSIA
9,30000052452,2981047766621,28990397,2022-04-18T00:00:00.000000Z,pos_md,2,2981047766621,110000324929,cfbdc3c5bb855d6b7f9224349e325c7b,,STORE,с. Кабанск,RUSSIA
10,30000014560,4353433242634,28076586,2021-09-01T00:00:00.000000Z,pos_md,1,4353433242634,110000324929,33af1c489c53a8d782fc18ce30a347f6,,STORE,г. Змеиногорск,RUSSIA
11,30000069502,3002261931897,28603746,2021-10-03T00:00:00.000000Z,pos_md,2,3002261931897,110000324929,6f49cdb4a33ae67cdf9db974252d635d,,STORE,г. Подольск,RUSSIA
